=============================================
SUBPROBLEM 9 OUTPUT
n_requests=20  n_vehicles=20  n_terminals=80  n_nodes=140  n_references=120
=============================================

[NODES]
id	x	y	TWl	TWu	serv	type	actual
0	6.78	-11.392	346	361	3	0	87
1	-13.395	-6.989	330	345	1	0	31
2	-9.89	11.709	340	355	1	0	13
3	10.02	-8.79	346	366	3	0	92
4	11.851	10.287	353	368	1	0	5
5	-11.481	-10.716	349	368	3	0	178
6	13.283	8.893	352	370	1	0	48
7	-3.164	14.036	339	365	1	0	102
8	5.057	-11.496	351	371	1	0	60
9	-11.403	7.371	344	368	1	0	140
10	-10.862	-6.415	356	374	1	0	170
11	-8.182	-13.914	353	368	3	0	183
12	12.082	-9.931	357	375	1	0	84
13	6.098	-1.692	356	371	1	0	67
14	9.049	7.567	349	364	1	0	145
15	-6.177	-13.07	350	373	1	0	198
16	7.551	-7.605	360	375	1	0	97
17	-10.344	-11.177	344	371	1	0	180
18	-11.625	-10.568	354	380	3	0	162
19	4.624	7.138	368	383	3	0	37
20	11.081	-12.668	350	368	3	1	287
21	11.996	11.373	361	393	1	1	231
22	9.346	10.477	359	384	1	1	213
23	6.269	-3.16	357	372	3	1	292
24	9.574	7.652	356	374	1	1	205
25	-5.084	-7.773	360	375	3	1	378
26	11.1	5.943	358	373	1	1	248
27	-8.287	-5.595	370	385	1	1	302
28	11.668	-9.714	362	377	1	1	260
29	-10.358	-9.706	370	385	1	1	340
30	-9.407	-9.901	362	377	1	1	370
31	-16.664	-6.56	364	385	3	1	383
32	8.813	-12.932	364	379	1	1	284
33	9.564	-10.483	365	386	1	1	267
34	-11.618	8.587	369	396	1	1	345
35	7.586	-10.175	372	387	1	1	398
36	4.996	-12.589	365	384	1	1	297
37	11.802	-15.851	378	393	1	1	380
38	-8.922	9.847	385	400	3	1	362
39	11.447	10.333	375	395	3	1	237
40	11.086	-14.79	288.544	720	3	2	289
41	7.258	-12.684	354	720	1	2	282
42	-15.732	9.873	325	720	3	2	313
43	15.747	9.832	347.603	720	1	2	220
44	11.083	6.195	365	720	3	2	241
45	6.098	-1.692	150.542	720	1	2	266
46	10.212	-2.947	109.585	720	3	2	288
47	15.699	-4.738	257	720	1	2	384
48	11.12	-11.2	337.919	720	1	2	388
49	10	-10	0	720	0	2	409
50	-8.815	4.089	369	720	3	2	331
51	7.551	-7.605	122.032	720	1	2	296
52	15.666	-15.424	321	720	1	2	279
53	12.882	13.797	312	720	3	2	396
54	12.443	12.947	308	720	1	2	229
55	16.757	13.404	350	720	1	2	368
56	-8.815	4.089	369	720	3	2	331
57	-5.084	-7.773	375	720	3	2	378
58	-10.358	-9.706	385	720	1	2	340
59	-10	-10	0	720	0	2	419
60	-20	10	349.228	387.921	1	3	420
61	-18	10	348.602	389.921	1	3	421
62	-16	10	347.345	391.92	1	3	422
63	-14	10	345.451	393.92	1	3	423
64	-12	10	343.715	395.918	1	3	424
65	-10	10	342.713	397.911	1	3	425
66	-8	10	343.548	398.065	1	3	426
67	-6	10	344.933	396.074	1	3	427
68	-4	10	344.122	394.076	1	3	428
69	-2	10	344.2	392.076	1	3	429
70	0	10	345.128	390.077	1	3	430
71	2	10	346.554	388.077	1	3	431
72	4	10	348.223	386.546	1	3	432
73	6	10	350.013	388.543	1	3	433
74	8	10	351.871	390.537	1	3	434
75	10	10	352.612	392.515	1	3	435
76	12	10	353.825	393.354	1	3	436
77	14	10	354.319	391.425	1	3	437
78	16	10	355.934	389.435	1	3	438
79	18	10	357.845	387.439	1	3	439
80	20	10	359.808	385.441	1	3	440
81	-20	-10	338.259	379.208	1	3	441
82	-18	-10	336.502	380.31	1	3	442
83	-16	-10	334.981	380.497	1	3	443
84	-14	-10	334.071	380.346	1	3	444
85	-12	-10	334.318	382.332	1	3	445
86	-10	-10	335.538	383.537	1	3	446
87	-8	-10	337.178	381.624	1	3	447
88	-6	-10	338.984	379.632	1	3	448
89	-4	-10	340.866	378.552	1	3	449
90	-2	-10	342.786	377.981	1	3	450
91	0	-10	344.729	378.827	1	3	451
92	2	-10	346.687	380.585	1	3	452
93	4	-10	348.654	382.41	1	3	453
94	6	-10	350.596	384.404	1	3	454
95	8	-10	350.851	385.551	1	3	455
96	10	-10	350.21	385.878	1	3	456
97	12	-10	351.32	386.146	1	3	457
98	14	-10	353.16	385.75	1	3	458
99	16	-10	355.101	384.799	1	3	459
100	18	-10	357.071	383.477	1	3	460
101	20	-10	359.053	381.928	1	3	461
102	-10	20	349.072	388.79	1	3	462
103	-10	18	347.292	390.776	1	3	463
104	-10	16	345.292	392.753	1	3	464
105	-10	14	343.294	394.709	1	3	465
106	-10	12	341.311	396.592	1	3	466
107	-10	8	344.711	396.861	1	3	467
108	-10	6	344.425	395.005	1	3	468
109	-10	4	342.501	393.054	1	3	469
110	-10	2	340.609	391.079	1	3	470
111	-10	0	338.77	389.094	1	3	471
112	-10	-2	337.035	387.104	1	3	472
113	-10	-4	335.523	385.111	1	3	473
114	-10	-6	334.536	383.116	1	3	474
115	-10	-8	334.542	382.257	1	3	475
116	-10	-12	337.053	381.678	1	3	476
117	-10	-14	338.79	379.691	1	3	477
118	-10	-16	340.629	377.696	1	3	478
119	-10	-18	342.523	375.698	1	3	479
120	-10	-20	344.447	373.7	1	3	480
121	10	20	354.452	384.225	1	3	481
122	10	18	353.748	386.198	1	3	482
123	10	16	353.31	388.151	1	3	483
124	10	14	353.164	390.058	1	3	484
125	10	12	353.321	391.793	1	3	485
126	10	8	351.045	391.255	1	3	486
127	10	6	351.833	389.432	1	3	487
128	10	4	353.692	387.504	1	3	488
129	10	2	355.648	385.542	1	3	489
130	10	0	355.417	383.566	1	3	490
131	10	-2	354.921	381.582	1	3	491
132	10	-4	353.79	380.013	1	3	492
133	10	-6	351.79	381.986	1	3	493
134	10	-8	349.79	383.945	1	3	494
135	10	-12	352.21	387.748	1	3	495
136	10	-14	353.144	389.417	1	3	496
137	10	-16	354.622	390.192	1	3	497
138	10	-18	356.351	389.195	1	3	498
139	10	-20	357.77	387.477	1	3	499
