=============================================
SUBPROBLEM 15 OUTPUT
n_requests=20  n_vehicles=20  n_terminals=80  n_nodes=140  n_references=120
=============================================

[NODES]
id	x	y	TWl	TWu	serv	type	actual
0	11.524	12.435	459	474	1	0	47
1	9.319	13.066	450	476	3	0	44
2	9.238	-10.886	453	468	1	0	115
3	10.693	10.214	468	486	1	0	34
4	-9.117	-11.764	446	477	1	0	164
5	-5.084	-7.773	472	487	3	0	179
6	-8.091	-3.35	468	483	1	0	95
7	-11.86	-11.085	468	483	3	0	105
8	12.112	9.13	482	497	1	0	9
9	-10.684	8.307	482	497	1	0	127
10	-8.734	10.849	482	499	3	0	100
11	-9.407	-9.901	483	498	1	0	171
12	8.883	8.604	485	500	1	0	7
13	11.802	-15.851	475	490	1	0	181
14	10.395	-11.042	509	524	1	0	77
15	-10.096	7.798	502	517	1	0	153
16	-12.603	10.787	513	528	1	0	137
17	-8.287	-5.595	505	520	1	0	103
18	6.987	-5.007	526	541	3	0	51
19	7.215	5.101	532	547	1	0	19
20	14.001	4.147	467	487	1	1	247
21	-10.038	10.995	480	495	3	1	244
22	-8.038	8.667	479	508	1	1	315
23	9.484	7.767	473	488	1	1	234
24	10.766	9.837	491	506	1	1	364
25	-11.481	-10.716	479	498	3	1	379
26	11.122	-12.544	489	515	1	1	295
27	-5.332	11.819	491	519	3	1	305
28	9.785	10.401	484	501	1	1	209
29	-7.211	10.237	485	503	1	1	327
30	-9.652	12.734	486	501	3	1	300
31	-10.862	-6.415	486	504	1	1	371
32	9.536	9.905	486	503	1	1	207
33	-10.344	-11.177	497	524	1	1	381
34	10.175	-11.048	509	525	1	1	277
35	-4.639	-11.635	522	548	1	1	353
36	-5.566	9.008	520	539	1	1	337
37	-3.164	14.036	525	551	1	1	303
38	6.456	-14.107	535	555	3	1	251
39	9.294	11.233	538	557	1	1	219
40	9.84	-13.676	445	720	1	2	299
41	7.1	-12.547	424.623	720	1	2	255
42	-8.057	12.104	482	720	1	2	306
43	13.465	-12.811	497.435	720	1	2	259
44	-11.835	7.482	460	720	1	2	333
45	11.802	-15.851	391.725	720	1	2	380
46	10.141	7.192	479	720	1	2	201
47	15.699	-4.738	257	720	1	2	384
48	7.1	-12.547	421.19	720	1	2	255
49	-14.804	16.245	484.81	720	1	2	323
50	-8.815	4.089	369	720	3	2	331
51	4.996	-12.589	380.486	720	1	2	297
52	15.666	-15.424	321	720	1	2	279
53	13.465	-12.811	498.799	720	1	2	259
54	10.766	9.837	502.95	720	1	2	364
55	16.757	13.404	350	720	1	2	368
56	-9.535	-13.32	489.379	720	1	2	385
57	-8.851	-7.507	478.559	720	1	2	377
58	-11.872	-13.479	487	720	1	2	369
