=============================================
SUBPROBLEM 13 OUTPUT
n_requests=20  n_vehicles=20  n_terminals=80  n_nodes=140  n_references=120
=============================================

[NODES]
id	x	y	TWl	TWu	serv	type	actual
0	7.02	10.861	409	424	1	0	151
1	9.294	11.233	422	441	1	0	18
2	16.757	13.404	413	428	1	0	169
3	-8.017	11.119	437	452	1	0	133
4	-11.506	11.881	435	455	1	0	134
5	-10.404	-10.647	444	459	1	0	187
6	-18.294	13.246	439	459	1	0	124
7	-7.721	-11.309	424	454	1	0	156
8	8.058	10.22	434	449	1	0	177
9	6.983	13.063	437	452	1	0	123
10	-9.292	-11.578	449	464	3	0	191
11	15.699	-4.738	437	452	1	0	185
12	-6.032	-10.706	448	467	3	0	154
13	10.158	-7.926	443	466	3	0	80
14	8.092	13.624	453	468	1	0	1
15	-11.603	6.577	438	453	1	0	59
16	-9.898	5.27	440	466	1	0	118
17	8.864	12.693	452	472	1	0	14
18	6.846	-9.296	437	467	1	0	68
19	-10.339	7.189	458	477	1	0	106
20	-8.709	-12.945	437	467	1	1	351
21	7.215	5.101	432	447	1	1	218
22	-11.872	-13.479	452	487	1	1	369
23	-11.835	7.482	442	460	1	1	333
24	-18.573	16.379	448	463	1	1	334
25	-8.107	-9.655	446	463	1	1	387
26	-10.942	10.736	451	466	1	1	324
27	8.411	10.151	465	480	1	1	356
28	-8.851	-7.507	458	486	1	1	377
29	-14.804	16.245	459	486	1	1	323
30	-5.315	-16.675	455	474	3	1	391
31	-9.535	-13.32	463	492	1	1	385
32	-11.901	-10.907	457	472	3	1	354
33	13.171	5.984	465	480	3	1	280
34	10.141	7.192	459	479	1	1	201
35	13.465	-12.811	469	501	1	1	259
36	8.428	12.983	470	485	1	1	318
37	15.284	16.82	464	479	1	1	214
38	9.82	19.177	480	495	1	1	268
39	-8.057	12.104	467	482	1	1	306
40	9.84	-13.676	445	720	1	2	299
41	7.1	-12.547	424.623	720	1	2	255
42	-11.618	8.587	393.741	720	1	2	345
43	15.747	9.832	347.603	720	1	2	220
44	14.158	8.737	409	720	3	2	308
45	11.802	-15.851	391.725	720	1	2	380
46	10.212	-2.947	109.585	720	3	2	288
47	15.699	-4.738	257	720	1	2	384
48	7.1	-12.547	421.19	720	1	2	255
49	-14.804	16.245	484.81	720	1	2	323
50	-8.815	4.089	369	720	3	2	331
51	4.996	-12.589	380.486	720	1	2	297
52	15.666	-15.424	321	720	1	2	279
53	16	-10	455	720	1	2	459
54	11.996	11.373	393	720	1	2	231
55	16.757	13.404	350	720	1	2	368
56	-11.618	8.587	395.591	720	1	2	345
57	-5.084	-7.773	375	720	3	2	378
58	-11.872	-13.479	487	720	1	2	369
59	-10.426	-10.11	435	720	1	2	274
60	-20	10	437.034	476.876	1	3	420
61	-18	10	435.035	477.985	1	3	421
62	-16	10	433.036	478.642	1	3	422
63	-14	10	431.038	478.703	1	3	423
64	-12	10	429.039	478.154	1	3	424
65	-10	10	427.042	478.136	1	3	425
66	-8	10	425.045	478.895	1	3	426
67	-6	10	423.048	478.058	1	3	427
68	-4	10	421.054	477.411	1	3	428
69	-2	10	419.061	479.036	1	3	429
70	0	10	417.073	480.559	1	3	430
71	2	10	415.093	481.943	1	3	431
72	4	10	413.14	483.133	1	3	432
73	6	10	411.335	484.06	1	3	433
74	8	10	411.305	484.644	1	3	434
75	10	10	413.102	484.821	1	3	435
76	12	10	415.054	484.568	1	3	436
77	14	10	417.033	483.916	1	3	437
78	16	10	417.487	482.936	1	3	438
79	18	10	417.624	481.707	1	3	439
80	20	10	418.702	480.294	1	3	440
81	-20	-10	437.349	480.021	1	3	441
82	-18	-10	435.362	481.907	1	3	442
83	-16	-10	433.382	483.732	1	3	443
84	-14	-10	431.414	485.436	1	3	444
85	-12	-10	429.475	486.865	1	3	445
86	-10	-10	427.628	487.648	1	3	446
87	-8	-10	426.338	487.342	1	3	447
88	-6	-10	427.162	486.15	1	3	448
89	-4	-10	428.945	484.546	1	3	449
90	-2	-10	430.869	484.282	1	3	450
91	0	-10	432.01	486.245	1	3	451
92	2	-10	431.457	488.195	1	3	452
93	4	-10	431.078	490.126	1	3	453
94	6	-10	430.886	492.023	1	3	454
95	8	-10	430.884	493.854	1	3	455
96	10	-10	431.073	495.538	1	3	456
97	12	-10	431.447	496.83	1	3	457
98	14	-10	431.998	497.139	1	3	458
99	16	-10	432.712	496.215	1	3	459
100	18	-10	433.574	494.664	1	3	460
101	20	-10	434.57	492.886	1	3	461
102	-10	20	429.318	478.903	1	3	462
103	-10	18	428.457	479.885	1	3	463
104	-10	16	427.779	480.19	1	3	464
105	-10	14	427.307	479.697	1	3	465
106	-10	12	427.058	479.054	1	3	466
107	-10	8	427.259	476.459	1	3	467
108	-10	6	427.701	474.594	1	3	468
109	-10	4	428.351	473.674	1	3	469
110	-10	2	429.188	475.673	1	3	470
111	-10	0	430.19	477.672	1	3	471
112	-10	-2	431.333	479.67	1	3	472
113	-10	-4	432.595	481.668	1	3	473
114	-10	-6	430.777	483.665	1	3	474
115	-10	-8	429.018	485.66	1	3	475
116	-10	-12	427.381	489.6	1	3	476
117	-10	-14	428.526	490.176	1	3	477
118	-10	-16	430.215	488.28	1	3	478
119	-10	-18	432.068	486.297	1	3	479
120	-10	-20	433.985	484.304	1	3	480
121	10	20	419.613	493.158	1	3	481
122	10	18	417.736	492.809	1	3	482
123	10	16	415.941	490.818	1	3	483
124	10	14	414.328	488.82	1	3	484
125	10	12	413.19	486.821	1	3	485
126	10	8	414.131	482.822	1	3	486
127	10	6	415.702	480.873	1	3	487
128	10	4	417.48	482.836	1	3	488
129	10	2	419.349	484.789	1	3	489
130	10	0	421.262	486.729	1	3	490
131	10	-2	423.202	488.647	1	3	491
132	10	-4	425.157	490.532	1	3	492
133	10	-6	427.122	492.358	1	3	493
134	10	-8	429.095	494.071	1	3	494
135	10	-12	433.054	496.441	1	3	495
136	10	-14	435.039	496.337	1	3	496
137	10	-16	437.026	495.291	1	3	497
138	10	-18	439.014	493.76	1	3	498
139	10	-20	441.005	492.02	1	3	499
