=============================================
SUBPROBLEM 7 OUTPUT
n_requests=20  n_vehicles=20  n_terminals=80  n_nodes=140  n_references=120
=============================================

[NODES]
id	x	y	TWl	TWu	serv	type	actual
0	-4.529	-9.483	292	307	1	0	167
1	-4.639	-11.635	277	303	1	0	152
2	-10.919	6.409	279	294	1	0	91
3	13.465	-12.811	269	301	1	0	58
4	7.172	10.889	284	299	3	0	113
5	-11.872	-13.479	276	311	1	0	168
6	-10.66	-5.407	294	321	1	0	188
7	-12.06	-9.855	314	329	1	0	193
8	10.141	7.192	310	330	1	0	0
9	-8.202	-15.454	321	336	1	0	175
10	-11.662	-12.22	322	337	1	0	173
11	4.904	-8.865	313	328	1	0	147
12	4.722	7.949	320	341	1	0	20
13	-5.332	11.819	311	339	3	0	104
14	11.486	-10.013	331	349	1	0	82
15	-5.315	-16.675	332	351	3	0	190
16	-7.271	15.481	328	343	1	0	33
17	-17.898	11.542	336	351	3	0	131
18	5.095	13.772	337	352	1	0	111
19	8.305	11.663	344	359	3	0	41
20	-8.972	-10.889	296	314	1	1	367
21	-10.096	7.798	308	323	1	1	352
22	11.375	-10.713	307	337	1	1	291
23	-11.603	6.577	317	332	1	1	258
24	-15.732	9.873	306	334	3	1	313
25	16.757	13.404	335	350	1	1	368
26	11.12	-11.2	328	343	1	1	388
27	-13.89	-10.275	315	332	1	1	393
28	8.092	13.624	321	336	1	1	200
29	-10.701	-13.545	324	341	1	1	375
30	-11.521	-10.176	324	341	1	1	373
31	-4.187	13.458	337	365	1	1	347
32	15.747	9.832	337	352	1	1	220
33	-11.86	-11.085	347	362	3	1	304
34	7.258	-12.684	339	354	1	1	282
35	-9.292	-11.578	342	357	3	1	390
36	9.949	12.263	345	370	1	1	233
37	-8.815	4.089	347	369	3	1	331
38	-6.608	10.004	349	371	1	1	311
39	11.083	6.195	350	369	3	1	241
40	11.086	-14.79	288.544	720	3	2	289
41	-11.384	-11.628	226.059	720	1	2	254
42	8.435	8.683	278.542	720	1	2	227
43	10.421	-7.21	314	720	1	2	257
44	8.435	8.683	278.542	720	1	2	227
45	6.098	-1.692	150.542	720	1	2	266
46	10.212	-2.947	109.585	720	3	2	288
47	15.699	-4.738	257	720	1	2	384
48	10	-10	0	720	0	2	408
49	10	-10	0	720	0	2	409
50	-11.603	6.577	321.675	720	1	2	258
51	7.551	-7.605	122.032	720	1	2	296
52	15.666	-15.424	321	720	1	2	279
53	12.882	13.797	312	720	3	2	396
54	12.443	12.947	308	720	1	2	229
55	16.757	13.404	350	720	1	2	368
56	-8.091	-3.35	317	720	1	2	294
57	-10.938	12.109	323	720	3	2	349
58	-10	-10	0	720	0	2	418
59	-10	-10	0	720	0	2	419
60	-20	10	289.765	356.608	1	3	420
61	-18	10	287.94	358.608	1	3	421
62	-16	10	286.222	360.608	1	3	422
63	-14	10	284.732	362.608	1	3	423
64	-12	10	283.75	364.608	1	3	424
65	-10	10	283.707	366.608	1	3	425
66	-8	10	284.628	368.608	1	3	426
67	-6	10	286.09	369.392	1	3	427
68	-4	10	287.795	367.392	1	3	428
69	-2	10	289.615	365.392	1	3	429
70	0	10	291.494	363.392	1	3	430
71	2	10	292.248	361.392	1	3	431
72	4	10	290.294	362.635	1	3	432
73	6	10	288.471	364.449	1	3	433
74	8	10	288.215	366.013	1	3	434
75	10	10	289.964	366.736	1	3	435
76	12	10	291.909	365.946	1	3	436
77	14	10	292.817	364.36	1	3	437
78	16	10	292.951	362.54	1	3	438
79	18	10	293.257	360.637	1	3	439
80	20	10	293.729	358.697	1	3	440
81	-20	-10	285.841	352.788	1	3	441
82	-18	-10	284.047	354.765	1	3	442
83	-16	-10	282.399	356.72	1	3	443
84	-14	-10	281.078	358.601	1	3	444
85	-12	-10	280.481	359.906	1	3	445
86	-10	-10	280.951	358.847	1	3	446
87	-8	-10	281.738	356.99	1	3	447
88	-6	-10	280.127	355.04	1	3	448
89	-4	-10	279.755	353.111	1	3	449
90	-2	-10	281.104	352.349	1	3	450
91	0	-10	282.919	351.381	1	3	451
92	2	-10	281.805	350.239	1	3	452
93	4	-10	279.874	350.324	1	3	453
94	6	-10	277.977	351.026	1	3	454
95	8	-10	276.146	351.514	1	3	455
96	10	-10	274.462	351.769	1	3	456
97	12	-10	273.17	351.779	1	3	457
98	14	-10	272.861	351.544	1	3	458
99	16	-10	273.785	351.075	1	3	459
100	18	-10	275.336	350.39	1	3	460
101	20	-10	277.114	349.512	1	3	461
102	-10	20	293.622	359.444	1	3	462
103	-10	18	291.627	361.314	1	3	463
104	-10	16	289.635	363.111	1	3	464
105	-10	14	287.646	364.758	1	3	465
106	-10	12	285.666	366.064	1	3	466
107	-10	8	281.837	366.06	1	3	467
108	-10	6	281.006	365.751	1	3	468
109	-10	4	282.578	366.812	1	3	469
110	-10	2	284.504	365.598	1	3	470
111	-10	0	286.475	363.743	1	3	471
112	-10	-2	288.459	361.797	1	3	472
113	-10	-4	286.662	359.825	1	3	473
114	-10	-6	284.71	357.842	1	3	474
115	-10	-8	282.79	357.398	1	3	475
116	-10	-12	279.386	358.927	1	3	476
117	-10	-14	278.943	357.542	1	3	477
118	-10	-16	280.14	355.745	1	3	478
119	-10	-18	281.893	353.839	1	3	479
120	-10	-20	283.784	351.893	1	3	480
121	10	20	296.54	361.263	1	3	481
122	10	18	294.653	363.263	1	3	482
123	10	16	292.841	365.263	1	3	483
124	10	14	291.204	367.262	1	3	484
125	10	12	290.038	368.732	1	3	485
126	10	8	291.043	365.895	1	3	486
127	10	6	289.127	366.9	1	3	487
128	10	4	287.164	365.552	1	3	488
129	10	2	285.211	363.667	1	3	489
130	10	0	283.271	361.711	1	3	490
131	10	-2	281.353	359.734	1	3	491
132	10	-4	279.468	357.748	1	3	492
133	10	-6	277.642	355.757	1	3	493
134	10	-8	275.929	353.764	1	3	494
135	10	-12	273.559	350.174	1	3	495
136	10	-14	273.663	349.959	1	3	496
137	10	-16	274.709	348.697	1	3	497
138	10	-18	276.24	347.018	1	3	498
139	10	-20	277.98	345.187	1	3	499
