=============================================
SUBPROBLEM 10 OUTPUT
n_requests=20  n_vehicles=20  n_terminals=80  n_nodes=140  n_references=120
=============================================

[NODES]
id	x	y	TWl	TWu	serv	type	actual
0	-10.862	-6.415	356	374	1	0	170
1	-8.182	-13.914	353	368	3	0	183
2	12.082	-9.931	357	375	1	0	84
3	6.098	-1.692	356	371	1	0	67
4	9.049	7.567	349	364	1	0	145
5	-6.177	-13.07	350	373	1	0	198
6	7.551	-7.605	360	375	1	0	97
7	-10.344	-11.177	344	371	1	0	180
8	-11.625	-10.568	354	380	3	0	162
9	4.624	7.138	368	383	3	0	37
10	-13.048	9.445	353	382	3	0	108
11	8.059	8.681	377	392	1	0	17
12	6.456	-14.107	372	392	3	0	50
13	-7.723	13.524	379	394	1	0	129
14	-11.744	-6.688	379	396	1	0	158
15	6.965	10.731	378	393	3	0	121
16	-9.772	7.442	376	391	3	0	63
17	-11.384	-11.628	384	399	1	0	55
18	9.745	-11.866	395	410	1	0	65
19	-15.018	14.461	375	403	1	0	142
20	-9.407	-9.901	362	377	1	1	370
21	-16.664	-6.56	364	385	3	1	383
22	8.813	-12.932	364	379	1	1	284
23	9.564	-10.483	365	386	1	1	267
24	-11.618	8.587	369	396	1	1	345
25	7.586	-10.175	372	387	1	1	398
26	4.996	-12.589	365	384	1	1	297
27	11.802	-15.851	378	393	1	1	380
28	-8.922	9.847	385	400	3	1	362
29	11.447	10.333	375	395	3	1	237
30	14.158	8.737	394	409	3	1	308
31	12.014	7.809	381	399	1	1	217
32	6.987	-5.007	386	401	3	1	250
33	-7.589	11.439	381	398	1	1	329
34	-10.286	-8.592	383	398	1	1	358
35	-11.146	9.829	396	421	3	1	321
36	10.591	-10.317	403	432	3	1	263
37	7.1	-12.547	402	427	1	1	255
38	9.486	-11.076	395	412	1	1	265
39	-9.622	-8.461	411	426	1	1	342
40	11.086	-14.79	288.544	720	3	2	289
41	6	-10	364.785	720	1	2	454
42	-11.618	8.587	393.741	720	1	2	345
43	15.747	9.832	347.603	720	1	2	220
44	11.083	6.195	365	720	3	2	241
45	11.802	-15.851	391.725	720	1	2	380
46	10.212	-2.947	109.585	720	3	2	288
