=============================================
SUBPROBLEM 4 OUTPUT
n_requests=20  n_vehicles=20  n_terminals=80  n_nodes=140  n_references=120
=============================================

[NODES]
id	x	y	TWl	TWu	serv	type	actual
0	9.486	-11.076	221	238	1	0	64
1	-13.89	-10.275	221	238	1	0	192
2	-14.804	16.245	205	232	1	0	122
3	-9.535	-13.32	202	231	1	0	184
4	5.943	-7.742	216	231	3	0	23
5	6.66	8.487	227	242	3	0	11
6	7.838	-12.743	228	243	1	0	3
7	14.828	-10.714	236	251	1	0	27
8	6.553	-12.365	249	266	1	0	72
9	-16.664	-6.56	245	266	3	0	182
10	-4.231	6.52	251	270	1	0	138
11	-10.043	-10.358	245	260	1	0	117
12	9.435	1.329	242	257	1	0	161
13	13.067	12.792	255	270	1	0	39
14	-9.845	-13.443	241	256	1	0	29
15	9.536	9.905	261	278	1	0	6
16	9.574	7.652	261	279	1	0	4
17	14.001	4.147	257	277	1	0	46
18	10.212	-2.947	263	278	3	0	89
19	-7.211	10.237	267	285	1	0	126
20	9.745	-11.866	223	238	1	1	264
21	-12.06	-9.855	224	239	1	1	392
22	6.983	13.063	239	254	1	1	322
23	15.699	-4.738	242	257	1	1	384
24	10.391	9.073	233	258	3	1	223
25	6.796	11.358	229	247	3	1	211
26	8.346	6.472	247	272	1	1	203
27	8.435	8.683	256	282	1	1	227
28	3.364	-12.123	254	269	1	1	272
29	-8.182	-13.914	262	277	3	1	382
30	-6.893	10.4	259	274	1	1	338
31	-4.927	6.703	262	287	1	1	317
32	-8.158	-13.919	265	292	1	1	361
33	4.421	13.315	263	283	1	1	239
34	12.443	12.947	275	308	1	1	229
35	8.883	8.604	264	279	1	1	206
36	11.851	10.287	267	282	1	1	204
37	11.524	12.435	270	285	1	1	246
38	11.086	-14.79	274	296	3	1	289
39	-10.684	8.307	273	288	1	1	326
40	5.027	6.257	158.23	720	1	2	298
41	-11.384	-11.628	226.059	720	1	2	254
42	8.435	8.683	278.542	720	1	2	227
43	9.238	-10.886	235.169	720	1	2	314
44	13.276	8.355	211.864	720	1	2	394
45	6.098	-1.692	150.542	720	1	2	266
46	10.212	-2.947	109.585	720	3	2	288
47	10	-10	0	720	0	2	407
48	10	-10	0	720	0	2	408
49	10	-10	0	720	0	2	409
50	12	-10	249	720	1	2	457
51	7.551	-7.605	122.032	720	1	2	296
52	-7.271	15.481	177.379	720	1	2	232
53	7.172	10.889	156	720	3	2	312
54	13.276	8.355	211.864	720	1	2	394
55	7.02	10.861	237	720	1	2	350
56	-10	-10	0	720	0	2	416
57	-10	-10	0	720	0	2	417
58	-10	-10	0	720	0	2	418
59	-10	-10	0	720	0	2	419
60	-20	10	214.124	277.531	1	3	420
61	-18	10	213.015	279.491	1	3	421
62	-16	10	212.358	281.421	1	3	422
63	-14	10	212.297	283.277	1	3	423
64	-12	10	212.846	284.856	1	3	424
65	-10	10	213.879	285.174	1	3	425
66	-8	10	215.235	286.346	1	3	426
67	-6	10	216.794	288.323	1	3	427
68	-4	10	218.479	290.295	1	3	428
69	-2	10	220.246	292.259	1	3	429
70	0	10	222.067	294.213	1	3	430
71	2	10	223.927	296.149	1	3	431
72	4	10	225.814	298.057	1	3	432
73	6	10	227.721	299.915	1	3	433
74	8	10	229.644	301.668	1	3	434
75	10	10	231.578	303.172	1	3	435
76	12	10	233.522	304.02	1	3	436
77	14	10	235.473	303.667	1	3	437
78	16	10	237.431	302.381	1	3	438
79	18	10	239.083	300.71	1	3	439
80	20	10	240.632	298.889	1	3	440
81	-20	-10	213.979	278.526	1	3	441
82	-18	-10	212.093	280.406	1	3	442
83	-16	-10	210.268	282.233	1	3	443
84	-14	-10	208.564	283.965	1	3	444
85	-12	-10	207.135	285.512	1	3	445
86	-10	-10	206.352	286.67	1	3	446
87	-8	-10	206.658	287.078	1	3	447
88	-6	-10	207.85	286.526	1	3	448
89	-4	-10	209.454	285.286	1	3	449
90	-2	-10	211.234	283.701	1	3	450
91	0	-10	213.096	282.923	1	3	451
92	2	-10	215.003	284.729	1	3	452
93	4	-10	216.936	286.447	1	3	453
94	6	-10	218.886	288.013	1	3	454
95	8	-10	220.847	289.302	1	3	455
96	10	-10	222.815	290.088	1	3	456
97	12	-10	224.735	290.124	1	3	457
98	14	-10	226.64	289.393	1	3	458
99	16	-10	228.602	288.138	1	3	459
100	18	-10	230.582	286.589	1	3	460
101	20	-10	232.569	284.881	1	3	461
102	-10	20	212.097	283.475	1	3	462
103	-10	18	211.115	283.995	1	3	463
104	-10	16	210.81	284.35	1	3	464
105	-10	14	211.303	284.532	1	3	465
106	-10	12	212.411	284.537	1	3	466
107	-10	8	215.542	286.25	1	3	467
108	-10	6	217.315	284.594	1	3	468
109	-10	4	219.154	282.839	1	3	469
