=============================================
SUBPROBLEM 6 OUTPUT
n_requests=20  n_vehicles=20  n_terminals=80  n_nodes=140  n_references=120
=============================================

[NODES]
id	x	y	TWl	TWu	serv	type	actual
0	-12.539	-19.173	234	271	3	0	196
1	-10.144	8.385	253	268	1	0	79
2	10.711	14.715	257	285	1	0	42
3	8.73	-10.345	263	278	3	0	149
4	10.671	10.178	282	299	3	0	24
5	-11.146	9.829	270	295	3	0	120
6	-11.835	7.482	282	300	1	0	132
7	-5.566	9.008	282	301	1	0	136
8	11.122	-12.544	270	296	1	0	94
9	6.308	-11.652	289	304	1	0	57
10	-4.529	-9.483	292	307	1	0	167
11	-4.639	-11.635	277	303	1	0	152
12	-10.919	6.409	279	294	1	0	91
13	13.465	-12.811	269	301	1	0	58
14	7.172	10.889	284	299	3	0	113
15	-11.872	-13.479	276	311	1	0	168
16	-10.66	-5.407	294	321	1	0	188
17	-12.06	-9.855	314	329	1	0	193
18	10.141	7.192	310	330	1	0	0
19	-8.202	-15.454	321	336	1	0	175
20	12.882	13.797	297	312	3	1	396
21	15.666	-15.424	288	321	1	1	279
22	-11.296	6.603	293	308	1	1	242
23	-10.938	12.109	292	323	3	1	349
24	9.37	10.979	285	300	3	1	224
25	6.965	10.731	298	313	3	1	320
26	-8.017	11.119	290	305	1	1	332
27	-12.603	10.787	293	308	1	1	336
28	-8.091	-3.35	302	317	1	1	294
29	10.421	-7.21	295	314	1	1	257
30	-8.972	-10.889	296	314	1	1	367
31	-10.096	7.798	308	323	1	1	352
32	11.375	-10.713	307	337	1	1	291
33	-11.603	6.577	317	332	1	1	258
34	-15.732	9.873	306	334	3	1	313
35	16.757	13.404	335	350	1	1	368
36	11.12	-11.2	328	343	1	1	388
37	-13.89	-10.275	315	332	1	1	393
38	8.092	13.624	321	336	1	1	200
39	-10.701	-13.545	324	341	1	1	375
40	11.086	-14.79	288.544	720	3	2	289
41	-11.384	-11.628	226.059	720	1	2	254
42	8.435	8.683	278.542	720	1	2	227
43	4.421	13.315	283	720	1	2	239
44	8.435	8.683	278.542	720	1	2	227
45	6.098	-1.692	150.542	720	1	2	266
46	10.212	-2.947	109.585	720	3	2	288
47	15.699	-4.738	257	720	1	2	384
48	10	-10	0	720	0	2	408
49	10	-10	0	720	0	2	409
50	12	-10	249	720	1	2	457
51	7.551	-7.605	122.032	720	1	2	296
52	6.983	13.063	254	720	1	2	322
53	7.172	10.889	156	720	3	2	312
54	12.443	12.947	308	720	1	2	229
55	8.883	8.604	279	720	1	2	206
56	-8.091	-3.35	317	720	1	2	294
57	-10	-10	0	720	0	2	417
58	-10	-10	0	720	0	2	418
59	-10	-10	0	720	0	2	419
60	-20	10	263.987	328.73	1	3	420
61	-18	10	262.02	330.728	1	3	421
62	-16	10	260.075	332.703	1	3	422
63	-14	10	258.181	331.263	1	3	423
64	-12	10	256.46	329.266	1	3	424
65	-10	10	255.621	327.267	1	3	425
66	-8	10	256.684	326.03	1	3	426
67	-6	10	258.448	325.99	1	3	427
68	-4	10	260.353	327.966	1	3	428
69	-2	10	262.303	329.937	1	3	429
70	0	10	264.272	331.901	1	3	430
71	2	10	266.251	333.855	1	3	431
72	4	10	266.202	335.797	1	3	432
73	6	10	264.665	337.717	1	3	433
74	8	10	263.439	339.605	1	3	434
75	10	10	262.768	341.434	1	3	435
76	12	10	262.888	343.151	1	3	436
77	14	10	263.749	344.62	1	3	437
78	16	10	265.086	345.513	1	3	438
79	18	10	266.681	345.376	1	3	439
80	20	10	268.417	344.298	1	3	440
81	-20	-10	248.824	330.048	1	3	441
82	-18	-10	247.676	331.886	1	3	442
83	-16	-10	246.804	333.625	1	3	443
84	-14	-10	246.289	335.157	1	3	444
85	-12	-10	246.189	336.224	1	3	445
86	-10	-10	246.518	336.386	1	3	446
87	-8	-10	247.235	335.543	1	3	447
88	-6	-10	248.265	334.112	1	3	448
89	-4	-10	249.532	332.419	1	3	449
90	-2	-10	250.972	330.605	1	3	450
91	0	-10	252.536	330.815	1	3	451
92	2	-10	254.191	332.801	1	3	452
93	4	-10	255.912	334.78	1	3	453
94	6	-10	257.684	336.741	1	3	454
95	8	-10	259.494	338.657	1	3	455
96	10	-10	261.334	340.359	1	3	456
97	12	-10	263.197	340.512	1	3	457
98	14	-10	265.08	338.88	1	3	458
99	16	-10	266.977	336.975	1	3	459
